community_id,n_nodes,n_edges,n_fraud_nodes,fraud_density,fraud_edge_ratio,high_risk_edge_ratio,drain_ratio,total_amount,avg_amount,avg_degree,density,internal_ratio,ring_score,ring_label
112893,3,2,1,0.3333,0.5,1.0,1.0,554550.09,277275.04,0.667,0.333333,1.0,0.6667,FRAUD_RING
143907,3,2,1,0.3333,0.5,1.0,1.0,272817.83,136408.92,0.667,0.333333,1.0,0.6667,FRAUD_RING
74934,3,2,1,0.3333,0.5,1.0,1.0,845293.5,422646.75,0.667,0.333333,1.0,0.6667,FRAUD_RING
30033,3,2,1,0.3333,0.5,1.0,1.0,1462937.17,731468.58,0.667,0.333333,1.0,0.6667,FRAUD_RING
31942,3,2,1,0.3333,0.5,1.0,1.0,1974712.43,987356.21,0.667,0.333333,1.0,0.6667,FRAUD_RING
129068,3,2,1,0.3333,0.5,1.0,1.0,778943.84,389471.92,0.667,0.333333,1.0,0.6667,FRAUD_RING
68226,3,2,1,0.3333,0.5,1.0,1.0,1327831.96,663915.98,0.667,0.333333,1.0,0.6667,FRAUD_RING
120677,3,2,1,0.3333,0.5,1.0,1.0,215624.2,107812.1,0.667,0.333333,1.0,0.6667,FRAUD_RING
14016,3,2,1,0.3333,0.5,1.0,1.0,122466.18,61233.09,0.667,0.333333,1.0,0.6667,FRAUD_RING
79729,3,2,1,0.3333,0.5,1.0,1.0,1215826.18,607913.09,0.667,0.333333,1.0,0.6667,FRAUD_RING
112291,3,2,1,0.3333,0.5,1.0,1.0,1081751.42,540875.71,0.667,0.333333,1.0,0.6667,FRAUD_RING
144222,3,2,1,0.3333,0.5,1.0,1.0,1159936.23,579968.11,0.667,0.333333,1.0,0.6667,FRAUD_RING
36329,3,2,1,0.3333,0.5,1.0,0.5,2773400.38,1386700.19,0.667,0.333333,1.0,0.5917,FRAUD_RING
25242,3,2,1,0.3333,0.5,1.0,0.5,502970.4,251485.2,0.667,0.333333,1.0,0.5917,FRAUD_RING
21736,3,2,1,0.3333,0.5,1.0,0.5,44453.75,22226.88,0.667,0.333333,1.0,0.5917,FRAUD_RING
